  0.9422380      0.4363408      0.1415927    
  0.3447278      4.4660568E-03  0.1415927    
  0.6300589      0.5375843      7.4926138E-02
  0.7866250      0.4059328     -1.8407345E-02
  0.4797609      0.6120121     -1.0407209E-02
  0.6357267      7.3828697E-03 -1.1740685E-02
  0.2131918      0.9469625     -1.2643337E-03
  0.1622201      0.3808225     -2.3407221E-02
  0.5707536      0.3834848     -2.7296066E-02
  0.9985973      0.1207190     -2.4073124E-03
  0.9989033      0.2538390      3.2501936E-02
  0.8271552      0.7815002      4.1592836E-02
  0.3376524      0.3189961      1.2362003E-02
  6.7494988E-02  0.8150554      2.4449825E-02
  0.5080674      0.7061383      2.4259329E-02
  0.5640230      0.5082344      1.1592627E-02
  0.1997690      0.8461584      9.8280907E-03
  0.2734500      0.9203482      6.0372353E-03
  0.5584330      0.4111604      8.9612007E-03
  0.9522914      0.8206685      1.1592627E-02
  0.8732898      0.2519590      1.9687891E-02
  0.8443676      0.6259283      3.2501936E-02
  0.2646242      0.3355801      2.6810169E-02
  0.3683032      0.3378213      3.1592846E-02
  0.3712763      0.6827602      3.4392834E-02
  0.8050280      0.4805021      3.5438776E-02
  3.8140178E-02  0.3054470      4.0852070E-02
  0.9852761      3.8086236E-02  4.0164232E-02
  3.6650896E-03  0.1442992      3.6765099E-02
  0.9770865      0.3921503      3.8926125E-02
  0.5873547      6.1861873E-03  3.1915426E-02
  0.7733029      0.2592319      3.5342693E-02
  0.3772677      0.5016884      3.3714056E-02
  0.9790735      0.6283292      4.1592836E-02
  0.9175170      0.9825973      3.4164190E-02
  0.4993513      0.6984017      3.6037207E-02
  0.3957705      0.4794151      3.4565687E-02
  0.2263941      0.8158697      3.0013800E-02
  0.3307509      0.6388551      3.1849146E-02
  0.7272642      0.4121144      2.9592752E-02
  0.2597353      0.6613415      2.2568464E-02
  0.9313287      0.9409780      3.0164242E-02
  0.4260556      0.2385095      2.6243925E-02
  0.8177593      0.8162635      2.2501945E-02
